first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,OD_impact_flag,path_network_design_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,69,2,6,0,1,0,sov,PM,6.48,0,1,2,2,0,14,25.6,25.6037,25.6037,12.1108,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202925;202923;202926;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200821AB;201003BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,70,2,6,2,3,0,sov,PM,41.91,0,1,2,1,0,20,22.4,22.447,22.447,12.5529,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202923;202926;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201003BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,71,2,6,1,2,0,sov,PM,67.83,0,1,2,1,0,22,22.7,22.6691,22.6691,12.9569,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202923;202926;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201003BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,79,2,16,0,1,0,sov,PM,0.92,0,1,2,2,0,16,24.7,24.7123,24.7123,11.3133,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202925;202924;202825;202824;202894;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,80,2,16,2,3,0,sov,PM,1.3,0,1,2,1,0,22,21.6,21.5556,21.5556,11.7554,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;202824;202894;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,81,2,16,1,2,0,sov,PM,2.79,0,1,2,1,0,24,21.8,21.7777,21.7777,12.1595,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;202824;202894;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,87,2,615,0,1,0,sov,PM,0.94,0,1,2,2,0,15,27.2,27.2473,27.2473,11.7442,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202925;202924;202825;615;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,88,2,615,2,3,0,sov,PM,1.28,0,1,2,1,0,21,24.1,24.0906,24.0906,12.1863,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;615;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,89,2,615,1,2,0,sov,PM,2.8,0,1,2,1,0,23,24.3,24.3127,24.3127,12.5904,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;615;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,94,2,620,0,1,0,sov,PM,1.07,0,1,2,2,0,13,22.6,22.5962,22.5962,9.4608,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202904;620;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201061AB;201290BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.440810 33.682018, -112.433183 33.684132)",,,,
,95,2,620,2,3,0,sov,PM,2.55,0,1,2,1,0,17,18.1,18.1078,18.1078,8.3716,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;620;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201046BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.433183 33.684132)",,,,
,96,2,620,1,2,0,sov,PM,3.42,0,1,2,1,0,19,18.3,18.3299,18.3299,8.7756,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;620;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201046BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.433183 33.684132)",,,,
,130,2,2125,0,1,0,sov,PM,0.93,0,1,2,2,0,14,25.9,25.9207,25.9207,11.4004,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202925;202923;2125;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200821AB;201005BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.474416 33.729884)",,,,
,131,2,2125,2,3,0,sov,PM,1.29,0,1,2,1,0,20,22.8,22.764,22.764,11.8425,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202923;2125;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201005BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.474416 33.729884)",,,,
,132,2,2125,1,2,0,sov,PM,2.29,0,1,2,1,0,22,23,22.9861,22.9861,12.2465,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202923;2125;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201005BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.474416 33.729884)",,,,
,137,2,2142,0,1,0,sov,PM,1.16,0,1,2,2,0,12,22.3,22.334,22.334,8.6697,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;2142;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201603BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.426521 33.711249)",,,,
,138,2,2142,2,3,0,sov,PM,1.88,0,1,2,1,0,18,19.2,19.1773,19.1773,9.1118,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;2142;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201603BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.426521 33.711249)",,,,
,139,2,2142,1,2,0,sov,PM,2.79,0,1,2,1,0,20,19.4,19.3994,19.3994,9.5158,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;2142;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201603BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.426521 33.711249)",,,,
,140,2,2146,0,1,0,sov,PM,0.92,0,1,2,2,0,15,24.5,24.5119,24.5119,11.0507,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202796;202925;202924;202831;2146;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200820AB;200985AB;200989BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.463132 33.718526, -112.464659 33.717140)",,,,
,141,2,2146,2,3,0,sov,PM,1.55,0,1,2,1,0,21,21.4,21.3552,21.3552,11.4928,202354;202783;202782;202500;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202831;2146;,201823BA;201070AB;201574AB;201549AB;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;200985AB;200989BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.342096 33.638688, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.463132 33.718526, -112.464659 33.717140)",,,,
,142,2,2146,1,2,0,sov,PM,2.79,0,1,2,1,0,23,21.6,21.5773,21.5773,11.8968,202354;202783;202782;202522;202523;202517;202518;202519;202505;202506;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202831;2146;,201823BA;201070AB;201573BA;201494BA;201581BA;201497BA;201530BA;201531AB;201536AB;201537BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;200985AB;200989BA;,"LINESTRING (-112.310974 33.638683, -112.324760 33.638727, -112.334501 33.638522, -112.337504 33.649679, -112.348458 33.654638, -112.358748 33.661900, -112.364881 33.665829, -112.371726 33.670753, -112.379549 33.672571, -112.387473 33.671728, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.463132 33.718526, -112.464659 33.717140)",,,,
,156,3,6,0,1,0,sov,PM,2.35,0,1,2,2,0,12,23.1,23.0715,23.0715,11.3795,202780;202497;202499;202525;202516;202504;202735;202734;202796;202925;202923;202926;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200821AB;201003BA;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,157,3,6,2,3,0,sov,PM,76.73,0,1,2,1,0,18,19.9,19.9148,19.9148,11.8216,202780;202497;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202923;202926;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201003BA;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,158,3,6,1,2,0,sov,PM,14.55,0,1,2,1,0,19,19.9,19.8615,19.8615,11.8532,202495;202498;202497;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202923;202926;,201562BA;201568AB;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200821AB;201003BA;,"LINESTRING (-112.330326 33.624071, -112.342079 33.632787, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.480687 33.740538)",,,,
,173,3,16,0,1,0,sov,PM,0.9,0,1,2,2,0,14,22.2,22.1801,22.1801,10.5821,202780;202497;202499;202525;202516;202504;202735;202734;202796;202925;202924;202825;202824;202894;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,174,3,16,2,3,0,sov,PM,1.1,0,1,2,1,0,20,19,19.0234,19.0234,11.0242,202780;202497;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;202824;202894;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,175,3,16,1,2,0,sov,PM,1.31,0,1,2,1,0,21,19,18.9701,18.9701,11.0558,202495;202498;202497;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;202824;202894;,201562BA;201568AB;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;201000AB;200998AB;,"LINESTRING (-112.330326 33.624071, -112.342079 33.632787, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.469722 33.711339, -112.478543 33.711346)",,,,
,182,3,615,0,1,0,sov,PM,0.92,0,1,2,2,0,13,24.7,24.715,24.715,11.013,202780;202497;202499;202525;202516;202504;202735;202734;202796;202925;202924;202825;615;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,183,3,615,2,3,0,sov,PM,1.1,0,1,2,1,0,19,21.6,21.5583,21.5583,11.4551,202780;202497;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;615;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,184,3,615,1,2,0,sov,PM,1.28,0,1,2,1,0,20,21.5,21.5051,21.5051,11.4866,202495;202498;202497;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;202796;202925;202924;202825;615;,201562BA;201568AB;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201606BA;201595BA;200820AB;201001AB;200997BA;,"LINESTRING (-112.330326 33.624071, -112.342079 33.632787, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.423245 33.695797, -112.446316 33.713652, -112.463132 33.711342, -112.464113 33.711342, -112.462040 33.693113)",,,,
,189,3,620,0,1,0,sov,PM,0.77,0,1,2,2,0,11,20.1,20.0639,20.0639,8.7296,202780;202497;202499;202525;202516;202504;202735;202734;202796;202904;620;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201061AB;201290BA;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.440810 33.682018, -112.433183 33.684132)",,,,
,190,3,620,2,3,0,sov,PM,2.4,0,1,2,1,0,15,15.6,15.5755,15.5755,7.6403,202780;202497;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;620;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201046BA;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.433183 33.684132)",,,,
,191,3,620,1,2,0,sov,PM,1.44,0,1,2,1,0,16,15.5,15.5223,15.5223,7.6719,202495;202498;202497;202499;202525;202516;202504;202735;202734;202580;202576;202575;202577;202790;202809;620;,201562BA;201568AB;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;201342BA;201354BA;201353BA;201351BA;201346BA;201065BA;201046BA;,"LINESTRING (-112.330326 33.624071, -112.342079 33.632787, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.402696 33.679682, -112.403035 33.679927, -112.403932 33.680592, -112.404774 33.681245, -112.405334 33.681636, -112.412007 33.686868, -112.433183 33.684132)",,,,
,247,3,2125,0,1,0,sov,PM,0.91,0,1,2,2,0,12,23.4,23.3885,23.3885,10.6691,202780;202497;202499;202525;202516;202504;202735;202734;202796;202925;202923;2125;,201564BA;201551BA;201558BA;201500BA;201541AB;201533BA;201102AB;detour-linkb;201595BA;200821AB;201005BA;,"LINESTRING (-112.330766 33.623526, -112.342088 33.632453, -112.350235 33.638677, -112.359637 33.645901, -112.370098 33.654190, -112.373609 33.656892, -112.390686 33.669473, -112.395598 33.674156, -112.423245 33.695797, -112.446316 33.713652, -112.460994 33.725310, -112.474416 33.729884)",,,,
