first_column,path_no,o_zone_id,d_zone_id,within_OD_path_no,path_id,information_type,agent_type,demand_period,volume,assign_volume,subarea_flag,OD_impact_flag,path_network_design_flag,toll,#_of_nodes,travel_time,VDF_travel_time,VDF_travel_time_without_access_link,distance_km,node_sequence,link_sequence,geometry,link_type_name_sequence,link_code_sequence,link_link_distance_VDF_sequence,link_FFTT_sequence
,2754,2125,622,1,2,0,sov,PM,1.59,0,1,2,1,0,14,17.7,17.6854,17.6854,9.7099,2125;202923;202925;202796;202809;202790;202608;202607;202586;202585;202588;202618;202617;622;,201005AB;200821BA;201595AB;201606AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201284BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.434703 33.645963)",,,,
,2755,2125,622,0,1,0,sov,PM,0.62,0,1,2,2,0,14,24.7,24.7313,24.7313,9.9812,2125;202923;202925;202796;202734;202735;202733;202732;202614;202620;202623;202616;202615;622;,201005AB;200821BA;201595AB;detour-linka;201102BA;201532AB;201103AB;201336BA;201339BA;201268AB;201288AB;201273AB;201287BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.425669 33.657282, -112.426821 33.653240, -112.434548 33.653280, -112.435568 33.653276, -112.434326 33.645281, -112.434703 33.645963)",,,,
,2756,2125,622,2,3,0,sov,PM,5.53,0,1,2,1,0,16,17.9,17.8525,17.8525,9.9201,2125;202923;202925;202796;202809;202790;202608;202607;202586;202585;202588;202618;202617;202606;202615;622;,201005AB;200821BA;201595AB;201606AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201320BA;201271AB;201286AB;201285AB;201287BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.426743 33.638872, -112.433938 33.638784, -112.435072 33.638808, -112.434326 33.645281, -112.434703 33.645963)",,,,
,2757,2125,623,0,1,0,sov,PM,0.5,0,1,2,2,0,9,20.7,20.6628,20.6628,7.0569,2125;202923;202925;202796;202734;202735;202733;202731;623;,201005AB;200821BA;201595AB;detour-linka;201102BA;201532AB;201104AB;201341BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.401189 33.668896, -112.402538 33.665005)",,,,
,2758,2125,623,1,2,0,sov,PM,2.39,0,1,2,1,0,15,14.7,14.6944,14.6944,7.499,2125;202923;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202733;202731;623;,201005AB;200821BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201104AB;201341BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.401189 33.668896, -112.402538 33.665005)",,,,
,2759,2125,624,0,1,0,sov,PM,0.55,0,1,2,2,0,9,22.4,22.3608,22.3608,7.9764,2125;202923;202925;202796;202734;202735;202733;202732;624;,201005AB;200821BA;201595AB;detour-linka;201102BA;201532AB;201103AB;201266BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.398425 33.646390)",,,,
,2760,2125,624,1,2,0,sov,PM,2.01,0,1,2,1,0,15,16.4,16.3925,16.3925,8.4185,2125;202923;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202733;202732;624;,201005AB;200821BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201103AB;201266BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.398425 33.646390)",,,,
,2761,2125,625,0,1,0,sov,PM,0.57,0,1,2,2,0,10,23.2,23.2457,23.2457,8.7636,2125;202923;202925;202796;202734;202735;202504;202515;202514;625;,201005AB;200821BA;201595AB;detour-linka;201102BA;201533AB;201542BA;201501AB;201519BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.376931 33.653079, -112.388740 33.646884, -112.391910 33.650741)",,,,
,2762,2125,625,1,2,0,sov,PM,1.53,0,1,2,1,0,16,17.3,17.2774,17.2774,9.2057,2125;202923;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202515;202514;625;,201005AB;200821BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201542BA;201501AB;201519BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.376931 33.653079, -112.388740 33.646884, -112.391910 33.650741)",,,,
,2763,2125,626,0,1,0,sov,PM,0.6,0,1,2,2,0,10,24.6,24.5549,24.5549,9.2,2125;202923;202925;202796;202734;202735;202504;202515;202514;626;,201005AB;200821BA;201595AB;detour-linka;201102BA;201533AB;201542BA;201501AB;201504BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.376931 33.653079, -112.388740 33.646884, -112.376209 33.643504)",,,,
,2764,2125,626,1,2,0,sov,PM,2.12,0,1,2,1,0,16,18.6,18.5865,18.5865,9.6421,2125;202923;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202515;202514;626;,201005AB;200821BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201542BA;201501AB;201504BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.376931 33.653079, -112.388740 33.646884, -112.376209 33.643504)",,,,
,2765,2125,627,0,1,0,sov,PM,0.69,0,1,2,2,0,10,23.7,23.7429,23.7429,8.8778,2125;202923;202925;202796;202734;202735;202504;202516;202525;627;,201005AB;200821BA;201595AB;detour-linka;201102BA;201533AB;201541BA;201500AB;201490BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.367910 33.645483)",,,,
,2766,2125,627,1,2,0,sov,PM,3.54,0,1,2,1,0,16,17.8,17.7745,17.7745,9.3199,2125;202923;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202504;202516;202525;627;,201005AB;200821BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201533AB;201541BA;201500AB;201490BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.373609 33.656892, -112.370098 33.654190, -112.359637 33.645901, -112.367910 33.645483)",,,,
,2769,2125,633,0,1,0,sov,PM,0.59,0,1,2,2,0,11,23.9,23.8868,23.8868,9.0101,2125;202923;202925;202796;202734;202735;202733;202732;202619;202730;633;,201005AB;200821BA;201595AB;detour-linka;201102BA;201532AB;201103AB;201270AB;201334BA;201291BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.406936 33.645969, -112.404621 33.638801, -112.400922 33.631194)",,,,
,2770,2125,633,1,2,0,sov,PM,2.22,0,1,2,1,0,15,17.9,17.8849,17.8849,9.8251,2125;202923;202925;202796;202809;202790;202608;202607;202586;202585;202588;202602;202604;202730;633;,201005AB;200821BA;201595AB;201606AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201291BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.400922 33.631194)",,,,
,2771,2125,633,2,3,0,sov,PM,1.1,0,1,2,1,0,17,17.9,17.9184,17.9184,9.4522,2125;202923;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202733;202732;202619;202730;633;,201005AB;200821BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201103AB;201270AB;201334BA;201291BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.406936 33.645969, -112.404621 33.638801, -112.400922 33.631194)",,,,
,2772,2125,637,0,1,0,sov,PM,0.72,0,1,2,2,0,13,25.9,25.8937,25.8937,10.06,2125;202923;202925;202796;202734;202735;202733;202732;202619;202730;202729;202744;637;,201005AB;200821BA;201595AB;detour-linka;201102BA;201532AB;201103AB;201270AB;201334BA;201105AB;201508AB;201512BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.406936 33.645969, -112.404621 33.638801, -112.394087 33.638726, -112.393981 33.631331, -112.385328 33.631276)",,,,
,2773,2125,637,3,4,0,sov,PM,1.1,0,1,2,1,0,17,19.9,19.8918,19.8918,10.8749,2125;202923;202925;202796;202809;202790;202608;202607;202586;202585;202588;202602;202604;202730;202729;202744;637;,201005AB;200821BA;201595AB;201606AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201105AB;201508AB;201512BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.393981 33.631331, -112.385328 33.631276)",,,,
,2774,2125,637,1,2,0,sov,PM,1.48,0,1,2,1,0,17,19.8,19.8339,19.8339,10.8835,2125;202923;202925;202796;202809;202790;202608;202607;202586;202585;202588;202602;202604;202730;202729;202511;637;,201005AB;200821BA;201595AB;201606AB;201065AB;201347AB;201277AB;201319AB;201322AB;201321AB;201317BA;201294BA;201335AB;201105AB;201517AB;201505BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.407417 33.677491, -112.418467 33.640626, -112.419381 33.639043, -112.419523 33.638935, -112.419678 33.638828, -112.417136 33.638814, -112.409418 33.638797, -112.404621 33.638801, -112.394087 33.638726, -112.385342 33.638720, -112.385328 33.631276)",,,,
,2775,2125,637,2,3,0,sov,PM,1.1,0,1,2,1,0,19,19.9,19.9253,19.9253,10.5021,2125;202923;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202733;202732;202619;202730;202729;202744;637;,201005AB;200821BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201103AB;201270AB;201334BA;201105AB;201508AB;201512BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.406936 33.645969, -112.404621 33.638801, -112.394087 33.638726, -112.393981 33.631331, -112.385328 33.631276)",,,,
,2776,2125,637,4,5,0,sov,PM,1.1,0,1,2,1,0,19,19.9,19.8673,19.8673,10.5107,2125;202923;202925;202796;202809;202790;202577;202575;202576;202580;202734;202735;202733;202732;202619;202730;202729;202511;637;,201005AB;200821BA;201595AB;201606AB;201065AB;201346AB;201351AB;201353AB;201354AB;201342AB;201102BA;201532AB;201103AB;201270AB;201334BA;201105AB;201517AB;201505BA;,"LINESTRING (-112.474416 33.729884, -112.460994 33.725310, -112.446316 33.713652, -112.423245 33.695797, -112.412007 33.686868, -112.405334 33.681636, -112.404774 33.681245, -112.403932 33.680592, -112.403035 33.679927, -112.402696 33.679682, -112.395598 33.674156, -112.390686 33.669473, -112.393117 33.666132, -112.404481 33.654611, -112.406936 33.645969, -112.404621 33.638801, -112.394087 33.638726, -112.385342 33.638720, -112.385328 33.631276)",,,,
