link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
201316BA,202622,202618,,1000_1500,18.783,0.000,18.783,1.000,"LINESTRING (-112.428305 33.649434, -112.428346 33.638878)",
201316BA,202622,202618,,1500_1800,10.545,0.000,10.545,1.000,"LINESTRING (-112.428305 33.649434, -112.428346 33.638878)",
201317AB,202602,202588,,0600_0900,12118.693,0.000,12118.693,1.000,"LINESTRING (-112.417127 33.640417, -112.419669 33.640431)",
201317AB,202602,202588,,1000_1500,112.727,0.000,112.727,1.000,"LINESTRING (-112.417127 33.640417, -112.419669 33.640431)",
201317AB,202602,202588,,1500_1800,63.287,0.000,63.287,1.000,"LINESTRING (-112.417127 33.640417, -112.419669 33.640431)",
201317BA,202588,202602,,0600_0900,10596.075,0.000,10596.075,1.000,"LINESTRING (-112.419687 33.637225, -112.417145 33.637211)",
201317BA,202588,202602,,1000_1500,11.167,0.000,11.167,1.000,"LINESTRING (-112.419687 33.637225, -112.417145 33.637211)",
201317BA,202588,202602,,1500_1800,6.269,0.000,6.269,1.000,"LINESTRING (-112.419687 33.637225, -112.417145 33.637211)",
201318AB,202588,202587,,0600_0900,3722.855,0.000,3722.855,1.000,"LINESTRING (-112.419678 33.638828, -112.418616 33.636979)",
201318AB,202588,202587,,1000_1500,110.300,0.000,110.300,1.000,"LINESTRING (-112.419678 33.638828, -112.418616 33.636979)",
201318AB,202588,202587,,1500_1800,61.924,0.000,61.924,1.000,"LINESTRING (-112.419678 33.638828, -112.418616 33.636979)",
201319AB,202607,202586,,0600_0900,7187.985,0.000,7187.985,1.000,"LINESTRING (-112.418467 33.640626, -112.419381 33.639043)",
201319AB,202607,202586,,1000_1500,10.634,0.000,10.634,1.000,"LINESTRING (-112.418467 33.640626, -112.419381 33.639043)",
201319AB,202607,202586,,1500_1800,5.970,0.000,5.970,1.000,"LINESTRING (-112.418467 33.640626, -112.419381 33.639043)",
201320AB,202618,202588,,0600_0900,8612.997,0.000,8612.997,1.000,"LINESTRING (-112.426753 33.637269, -112.419688 33.637225)",
201320AB,202618,202588,,1000_1500,73.362,0.000,73.362,1.000,"LINESTRING (-112.426753 33.637269, -112.419688 33.637225)",
201320AB,202618,202588,,1500_1800,41.187,0.000,41.187,1.000,"LINESTRING (-112.426753 33.637269, -112.419688 33.637225)",
201320BA,202588,202618,,0600_0900,13600.745,0.000,13600.745,1.000,"LINESTRING (-112.419668 33.640431, -112.426733 33.640475)",
201320BA,202588,202618,,1000_1500,75.257,0.000,75.257,1.000,"LINESTRING (-112.419668 33.640431, -112.426733 33.640475)",
201320BA,202588,202618,,1500_1800,42.250,0.000,42.250,1.000,"LINESTRING (-112.419668 33.640431, -112.426733 33.640475)",
