link_id,from_node_id,to_node_id,from_cell_code,time_period,volume,background_volume,major_path_volume,ratio_of_major_path_flow,geometry,notes
201352AB,202578,202577,,1000_1500,132.331,0.000,132.331,1.000,"LINESTRING (-112.405692 33.679114, -112.404774 33.681245)",
201352AB,202578,202577,,1500_1800,74.292,0.000,74.292,1.000,"LINESTRING (-112.405692 33.679114, -112.404774 33.681245)",
201353AB,202575,202576,,0600_0900,15297.313,0.000,15297.313,1.000,"LINESTRING (-112.404887 33.679304, -112.403990 33.678639)",
201353AB,202575,202576,,1000_1500,316.452,0.000,316.452,1.000,"LINESTRING (-112.404887 33.679304, -112.403990 33.678639)",
201353AB,202575,202576,,1500_1800,177.661,0.000,177.661,1.000,"LINESTRING (-112.404887 33.679304, -112.403990 33.678639)",
201353BA,202576,202575,,0600_0900,6167.155,0.000,6167.155,1.000,"LINESTRING (-112.402080 33.681215, -112.402977 33.681880)",
201353BA,202576,202575,,1000_1500,1009.852,0.000,1009.852,1.000,"LINESTRING (-112.402080 33.681215, -112.402977 33.681880)",
201353BA,202576,202575,,1500_1800,566.944,0.000,566.944,1.000,"LINESTRING (-112.402080 33.681215, -112.402977 33.681880)",
201354AB,202576,202580,,0600_0900,13381.202,0.000,13381.202,1.000,"LINESTRING (-112.403974 33.678628, -112.403635 33.678383)",
201354AB,202576,202580,,1000_1500,179.353,0.000,179.353,1.000,"LINESTRING (-112.403974 33.678628, -112.403635 33.678383)",
201354AB,202576,202580,,1500_1800,100.691,0.000,100.691,1.000,"LINESTRING (-112.403974 33.678628, -112.403635 33.678383)",
201354BA,202580,202576,,0600_0900,6194.337,0.000,6194.337,1.000,"LINESTRING (-112.401757 33.680981, -112.402096 33.681226)",
201354BA,202580,202576,,1000_1500,1011.079,0.000,1011.079,1.000,"LINESTRING (-112.401757 33.680981, -112.402096 33.681226)",
201354BA,202580,202576,,1500_1800,567.633,0.000,567.633,1.000,"LINESTRING (-112.401757 33.680981, -112.402096 33.681226)",
201490AB,627,202525,,0600_0900,859.416,0.000,859.416,1.000,"LINESTRING (-112.367829 33.643882, -112.359556 33.644300)",
201490AB,627,202525,,1000_1500,35.784,0.000,35.784,1.000,"LINESTRING (-112.367829 33.643882, -112.359556 33.644300)",
201490AB,627,202525,,1500_1800,20.090,0.000,20.090,1.000,"LINESTRING (-112.367829 33.643882, -112.359556 33.644300)",
201490BA,202525,627,,0600_0900,2362.863,0.000,2362.863,1.000,"LINESTRING (-112.359718 33.647502, -112.367991 33.647084)",
201490BA,202525,627,,1000_1500,37.563,0.000,37.563,1.000,"LINESTRING (-112.359718 33.647502, -112.367991 33.647084)",
201490BA,202525,627,,1500_1800,21.088,0.000,21.088,1.000,"LINESTRING (-112.359718 33.647502, -112.367991 33.647084)",
201491AB,649,202764,,0600_0900,186.756,0.000,186.756,1.000,"LINESTRING (-112.379111 33.676936, -112.354090 33.681388)",
201491AB,649,202764,,1000_1500,0.317,0.000,0.317,1.000,"LINESTRING (-112.379111 33.676936, -112.354090 33.681388)",
201491AB,649,202764,,1500_1800,0.178,0.000,0.178,1.000,"LINESTRING (-112.379111 33.676936, -112.354090 33.681388)",
